STATE,PC_NO,PC_NAME,PC_TYPE,AC_NO,AC_NAME,AC_TYPE,18-19 Male,18-19 Female,18-19 Others,Above 18 Male,Above 18 Female,Above 18 Others,Gender Ratio Roll,Electors with EPIC,Electors with Photo
BIHAR,25,KHAGARIA,,148,ALAULI,SC,3117,3035,3,111625,101547,5,910,201367,213175
BIHAR,25,KHAGARIA,,149,KHAGARIA,,3626,2695,0,117376,101057,6,861,205305,218440
BIHAR,25,KHAGARIA,,150,BELDAUR,,4766,3462,3,139522,123189,8,883,239442,262721
BIHAR,25,KHAGARIA,,151,PARBATTA,,5125,3498,0,142391,121468,3,853,237565,263863
BIHAR,26,BHAGALPUR,,152,BIHPUR,,3621,5937,1,120860,109037,4,902,206774,229901
BIHAR,26,BHAGALPUR,,153,GOPALPUR,,4652,6845,17,126372,114029,25,902,221647,240426
BIHAR,26,BHAGALPUR,,154,PIRPAINTI,SC,3110,4481,2,152152,136237,3,895,268563,288392
BIHAR,26,BHAGALPUR,,155,KAHALGAON,,2924,5761,1,149440,137725,6,922,258731,287171
BIHAR,26,BHAGALPUR,,156,BHAGALPUR,,2655,2203,-1,159960,137146,13,857,279426,297120
BIHAR,27,BANKA,,157,SULTANGANJ,,4541,5500,6,151490,135250,16,893,267510,286756
BIHAR,26,BHAGALPUR,,158,NATHNAGAR,,6435,6887,2,151699,132780,9,875,263040,284488
BIHAR,27,BANKA,,159,AMARPUR,,2219,2015,0,135007,117894,7,873,239446,252908
BIHAR,27,BANKA,,160,DHORAIYA,SC,3269,2986,0,133000,117786,3,886,235454,250790
BIHAR,27,BANKA,,161,BANKA,,2317,2444,0,116460,105056,0,902,211469,221517
BIHAR,27,BANKA,,162,KATORIA,ST,1398,2611,1,109937,98377,2,895,196226,208321
BIHAR,27,BANKA,,163,BELHAR,,2644,3944,0,139393,124919,2,896,250086,264315
BIHAR,40,JAMUI,SC,164,TARAPUR,,2878,2204,0,146368,126223,5,862,250664,272596
BIHAR,28,MUNGER,,165,MUNGER,,3783,2369,4,157037,130323,28,830,257904,287388
BIHAR,28,MUNGER,,166,JAMALPUR,,2860,1614,0,149846,122494,1,817,248500,272343
BIHAR,28,MUNGER,,167,SURYAGARHA,,4831,4003,-5,161469,138269,2,856,270333,299748
